basicData/name;basicData/title;geoData/address;geoData/zipcode;geoData/country;geoData/latitude;geoData/longitude;geoData/subAdministrativeArea
Utopía Parkway;Utopía Parkway;de la Reina, 11;28004;Spain;40.420413630931;-3.700195848942;Madrid
Travesía Cuatro;Travesía Cuatro;de San Mateo, 16;28004;Spain;40.425565362874;-3.699172586203;Madrid
The Goma;The Goma;de Fúcar, 12;28014;Spain;40.411547767108;-3.695687055588;Madrid
Teatro del Barrio;Teatro del Barrio;de Zurita, 20;28012;Spain;40.409623935866;-3.699216842651;Madrid
Galería Sabrina Amrani;Galería Sabrina Amrani;de la Madera, 23;28004;Spain;40.423489811632;-3.704441785812;Madrid
Galería Rafael Pérez Hernando;Galería Rafael Pérez Hernando;de Orellana, 18;28004;Spain;40.425923702916;-3.694069013000;Madrid
Ponce + Robles;Ponce + Robles;de la Alameda, 5;28014;Spain;40.412052600000;-3.693785800000;Madrid
Parra & Romero;Parra & Romero;de Claudio Coello, 14;28001;Spain;40.422054600000;-3.686891400000;Madrid
Nogueras Blanchard;Nogueras Blanchard;Doctor Fourquet, 4;28012;Spain;40.408937500000;-3.695609800000;Madrid
Palacio de Gaviria;Palacio de Gaviria;del Arenal, 9;28013;Spain;40.416959523924;-3.706115484238;Madrid
Devour Tours Madrid;Devour Tours Madrid;--;;Spain;40.411928600000;-3.696549800000;Madrid
Gourmet Madrid;Gourmet Madrid;de Menéndez Pelayo, 53;28009;Spain;40.416241000000;-3.677822600000;Madrid
Segway Trip;Segway Trip;de San Miguel, 2;28005;Spain;40.415589700000;-3.709240600000;Madrid
Madrid Original;Madrid Original;de Juan Bravo, 3;28006;Spain;40.433582126783;-3.685270696878;Madrid
De Madrid al Cielo;De Madrid al Cielo;Mayor;;Spain;40.415364000000;-3.707398000000;Madrid
Aularte;Aularte;del Hospital, 2, local 3;28012;Spain;40.408525162562;-3.695326298475;Madrid
Trapsatur;Trapsatur;de San Bernardo, 7;28013;Spain;40.421134300000;-3.708240300000;Madrid
Biblioteca Regional de la Comunidad de Madrid Joaquín Leguina;Biblioteca Regional de la Comunidad de Madrid Joaquín Leguina;de Ramírez de Prado, 3;28045;Spain;40.399620100000;-3.690606500000;Madrid
Galería de Arte Lucía Mendoza;Galería de Arte Lucía Mendoza;Bárbara de Braganza, 10;28004;Spain;40.423353700000;-3.692687600000;Madrid
